Source,Target,RelationType,RelationStartYear,RelationEndYear,Experience
per_002,disc002,14,99,99,99
per_003,disc003,14,99,99,99
per_004,disc004,14,99,99,99
per_004,disc005,14,99,99,99
per_005,disc006,14,99,99,99
per_006,disc007,14,99,99,99
per_007,disc008,14,99,99,99
per_008,disc009,14,99,99,99
per_009,disc010,14,99,99,99
per_010,disc011,14,99,99,99
per_012,disc012,14,99,99,99
per_014,disc013,14,99,99,99
per_016,disc014,14,99,99,99
per_017,disc015,14,99,99,99
per_017,disc016,14,99,99,99
per_018,disc017,14,99,99,99
per_025,disc018,14,99,99,99
per_026,disc019,14,99,99,99
per_027,disc020,14,99,99,99
per_027,disc021,14,99,99,99
per_028,disc022,14,99,99,99
per_028,disc023,14,99,99,99
per_029,disc024,14,99,99,99
per_030,disc025,14,99,99,99
per_032,disc026,14,99,99,99
per_035,disc027,14,99,99,99
per_035,disc028,14,99,99,99
per_036,disc029,14,99,99,99
per_037,disc030,14,99,99,99
per_037,disc031,14,99,99,99
per_039,disc032,14,99,99,99
per_039,disc033,14,99,99,99
per_041,disc034,14,99,99,99
per_043,disc035,14,99,99,99
per_045,disc036,14,99,99,99
per_045,disc037,14,99,99,99
per_049,disc038,14,99,99,99
per_049,disc039,14,99,99,99
per_068,disc040,14,99,99,99
per_079,disc041,14,99,99,99
per_079,disc042,14,99,99,99
per_080,disc043,14,99,99,99
per_080,disc044,14,99,99,99
per_081,disc045,14,99,99,99
per_081,disc046,14,99,99,99
per_082,disc047,14,99,99,99
per_083,disc048,14,99,99,99
per_083,disc049,14,99,99,99
per_084,disc050,14,99,99,99
per_087,disc051,14,99,99,99
per_088,disc052,14,99,99,99
per_089,disc053,14,99,99,99
per_092,disc054,14,99,99,99
per_093,disc055,14,99,99,99
per_094,disc056,14,99,99,99
per_094,disc057,14,99,99,99
per_095,disc058,14,99,99,99
per_099,disc059,14,99,99,99
per_100,disc060,14,99,99,99
per_101,disc061,14,99,99,99
per_102,disc062,14,99,99,99
per_102,disc063,14,99,99,99
per_103,disc064,14,99,99,99
per_107,disc065,14,99,99,99
per_110,disc066,14,99,99,99
per_110,disc067,14,99,99,99
per_115,disc068,14,99,99,99
per_117,disc069,14,99,99,99
per_118,disc070,14,99,99,99
per_119,disc071,14,99,99,99
per_119,disc072,14,99,99,99
per_120,disc073,14,99,99,99
per_120,disc074,14,99,99,99
per_122,disc075,14,99,99,99
per_126,disc076,14,99,99,99
per_127,disc077,14,99,99,99
per_128,disc078,14,99,99,99
per_002,soft001,10,99,99,99
per_002,soft002,10,99,99,99
per_002,soft003,10,99,99,99
per_002,soft004,10,99,99,99
per_002,soft005,10,99,99,99
per_002,soft006,10,99,99,99
per_028,soft001,10,99,99,99
per_045,soft001,10,99,99,99
per_045,soft002,10,99,99,99
per_045,soft003,10,99,99,99
per_045,soft004,10,99,99,99
per_037,soft001,10,99,99,99
per_080,soft001,10,99,99,99
per_080,soft002,10,99,99,99
per_031,soft001,10,99,99,99
per_031,soft002,10,99,99,99
per_031,soft003,10,99,99,99
per_031,soft004,10,99,99,99
per_102,soft002,10,99,99,99
per_102,soft003,10,99,99,99
per_110,soft002,10,99,99,99
per_110,soft003,10,99,99,99
per_110,soft004,10,99,99,99
per_068,soft001,10,99,99,99
per_068,soft002,10,99,99,99
per_068,soft003,10,99,99,99
per_002,firstContact_002,13,1964,1964,99
per_028,firstContact_028,13,1980,1980,99
per_027,firstContact_027,13,1979,1979,99
per_045,firstContact_045,13,1966,1966,99
per_037,firstContact_037,13,1978,1978,99
per_079,firstContact_079,13,1968,1968,99
per_080,firstContact_080,13,1950,1950,99
per_031,firstContact_031,13,1960,1960,99
per_102,firstContact_102,13,1960,1960,99
per_110,firstContact_110,13,late 1960s/1970,late 1960s/1970,99
per_115,firstContact_115,13,1979,1979,99
per_068,firstContact_068,13,summer 1967,summer 1967,99
per_002,non_dig_contact_002,15,99,99,0
per_028,non_dig_contact_028,15,99,99,-1
per_027,non_dig_contact_027,15,99,99,1
per_045,non_dig_contact_045,15,99,99,1
per_037,non_dig_contact_037,15,99,99,-1
per_079,non_dig_contact_079,15,99,99,-1
per_080,non_dig_contact_080,15,99,99,99
per_031,non_dig_contact_031,15,99,99,99
per_102,non_dig_contact_102,15,99,99,99
per_110,non_dig_contact_110,15,99,99,99
per_115,non_dig_contact_115,15,99,99,99
per_068,non_dig_contact_068,15,99,99,99
per_002,com_centre_help_002,16,99,99,99
per_028,com_centre_help_028,16,99,99,99
per_027,com_centre_help_027,16,99,99,99
per_045,com_centre_help_045,16,99,99,99
per_037,com_centre_help_037,16,99,99,1
per_079,com_centre_help_079,16,99,99,99
per_080,com_centre_help_080,16,99,99,1
per_031,com_centre_help_031,16,99,99,99
per_102,com_centre_help_102,16,99,99,99
per_110,com_centre_help_110,16,99,99,1
per_115,com_centre_help_115,16,99,99,99
per_068,com_centre_help_068,16,99,99,99
